tecnica;mean_absolute_error;mean_squared_error;mean_squared_log_error;median_absolute_error;identificador_aleatorio;tipo_split;normalizador;redutor_dimensionalidade;pipeline;parametros;random_state_split;random_state_random_search;cross_validation_random_search;best_estimator;best_params
RandomForestRegressor;0.4367741935483871;0.5258064516129032;0.011920363873553969;0.0;4512131;train_test_split 30%;robust_scaler;pca;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('RandomForestRegressor', RandomForestRegressor(bootstrap=True, criterion='mse', max_depth=None,
                      max_features='auto', max_leaf_nodes=None,
                      min_impurity_decrease=0.0, min_impurity_split=None,
                      min_samples_leaf=1, min_samples_split=2,
                      min_weight_fraction_leaf=0.0, n_estimators='warn',
                      n_jobs=None, oob_score=False, random_state=None,
                      verbose=0, warm_start=False))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'RandomForestRegressor__n_estimators': [5, 10, 15], 'RandomForestRegressor__criterion': ('mse', 'mae'), 'RandomForestRegressor__max_features': ('auto', 'sqrt', 'log2'), 'RandomForestRegressor__bootstrap': [True, False], 'RandomForestRegressor__warm_start': [True, False]};12;3;9;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=True, with_scaling=True)),
                ('pca',
                 PCA(copy=True, iterated_power='auto', n_components=9,
                     random_state=None, svd_solver='full', tol=0.0,
                     whiten=True)),
                ('RandomForestRegressor',
                 RandomForestRegressor(bootstrap=True, criterion='mse',
                                       max_depth=None, max_features='sqrt',
                                       max_leaf_nodes=None,
                                       min_impurity_decrease=0.0,
                                       min_impurity_split=None,
                                       min_samples_leaf=1, min_samples_split=2,
                                       min_weight_fraction_leaf=0.0,
                                       n_estimators=15, n_jobs=None,
                                       oob_score=False, random_state=None,
                                       verbose=0, warm_start=False))],
         verbose=False)";{'robust_scaler__with_scaling': True, 'robust_scaler__with_centering': True, 'pca__whiten': True, 'pca__svd_solver': 'full', 'pca__n_components': 9, 'RandomForestRegressor__warm_start': False, 'RandomForestRegressor__n_estimators': 15, 'RandomForestRegressor__max_features': 'sqrt', 'RandomForestRegressor__criterion': 'mse', 'RandomForestRegressor__bootstrap': True}
ExtraTreesRegressor;0.4290322580645161;0.5206451612903226;0.011944586381972943;0.0;2621803;train_test_split 30%;robust_scaler;pca;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('ExtraTreesRegressor', ExtraTreesRegressor(bootstrap=False, criterion='mse', max_depth=None,
                    max_features='auto', max_leaf_nodes=None,
                    min_impurity_decrease=0.0, min_impurity_split=None,
                    min_samples_leaf=1, min_samples_split=2,
                    min_weight_fraction_leaf=0.0, n_estimators='warn',
                    n_jobs=None, oob_score=False, random_state=None, verbose=0,
                    warm_start=False))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'ExtraTreesRegressor__n_estimators': [5, 10, 15], 'ExtraTreesRegressor__criterion': ('mse', 'mae'), 'ExtraTreesRegressor__max_features': ('auto', 'sqrt', 'log2'), 'ExtraTreesRegressor__bootstrap': [True, False], 'ExtraTreesRegressor__warm_start': [True, False]};12;27;3;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=False)),
                ('pca',
                 PCA(copy=True, iterated_power='auto', n_components=9,
                     random_state=None, svd_solver='auto', tol=0.0,
                     whiten=True)),
                ('ExtraTreesRegressor',
                 ExtraTreesRegressor(bootstrap=True, criterion='mae',
                                     max_depth=None, max_features='log2',
                                     max_leaf_nodes=None,
                                     min_impurity_decrease=0.0,
                                     min_impurity_split=None,
                                     min_samples_leaf=1, min_samples_split=2,
                                     min_weight_fraction_leaf=0.0,
                                     n_estimators=15, n_jobs=None,
                                     oob_score=False, random_state=None,
                                     verbose=0, warm_start=False))],
         verbose=False)";{'robust_scaler__with_scaling': False, 'robust_scaler__with_centering': False, 'pca__whiten': True, 'pca__svd_solver': 'auto', 'pca__n_components': 9, 'ExtraTreesRegressor__warm_start': False, 'ExtraTreesRegressor__n_estimators': 15, 'ExtraTreesRegressor__max_features': 'log2', 'ExtraTreesRegressor__criterion': 'mae', 'ExtraTreesRegressor__bootstrap': True}
GradientBoostingRegressor;0.5793548387096774;0.7174193548387097;0.01613767907019265;1.0;8783906;train_test_split 30%;robust_scaler;pca;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('GradientBoostingRegressor', GradientBoostingRegressor(alpha=0.9, criterion='friedman_mse', init=None,
                          learning_rate=0.1, loss='ls', max_depth=3,
                          max_features=None, max_leaf_nodes=None,
                          min_impurity_decrease=0.0, min_impurity_split=None,
                          min_samples_leaf=1, min_samples_split=2,
                          min_weight_fraction_leaf=0.0, n_estimators=100,
                          n_iter_no_change=None, presort='auto',
                          random_state=None, subsample=1.0, tol=0.0001,
                          validation_fraction=0.1, verbose=0, warm_start=False))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'GradientBoostingRegressor__loss': ('ls', 'lad', 'huber', 'quantile'), 'GradientBoostingRegressor__criterion': ('friedman_mse', 'mse', 'mae'), 'GradientBoostingRegressor__max_features': ('auto', 'sqrt', 'log2'), 'GradientBoostingRegressor__n_estimators': [50, 100, 150], 'GradientBoostingRegressor__warm_start': [True, False]};12;11;9;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=False)),
                ('pca',
                 PCA(copy=True, iterated_power='auto', n_components=5,
                     random_state=None, svd_solver='full', tol=0.0,
                     whiten=True)),
                ('GradientBoostingRegressor',
                 GradientBoostingRegressor(alpha=0.9, criterion='friedman_mse',
                                           init=No....1,
                                           loss='huber', max_depth=3,
                                           max_features='log2',
                                           max_leaf_nodes=None,
                                           min_impurity_decrease=0.0,
                                           min_impurity_split=None,
                                           min_samples_leaf=1,
                                           min_samples_split=2,
                                           min_weight_fraction_leaf=0.0,
                                           n_estimators=100,
                                           n_iter_no_change=None,
                                           presort='auto', random_state=None,
                                           subsample=1.0, tol=0.0001,
                                           validation_fraction=0.1, verbose=0,
                                           warm_start=True))],
         verbose=False)";{'robust_scaler__with_scaling': False, 'robust_scaler__with_centering': False, 'pca__whiten': True, 'pca__svd_solver': 'full', 'pca__n_components': 5, 'GradientBoostingRegressor__warm_start': True, 'GradientBoostingRegressor__n_estimators': 100, 'GradientBoostingRegressor__max_features': 'log2', 'GradientBoostingRegressor__loss': 'huber', 'GradientBoostingRegressor__criterion': 'friedman_mse'}
AdaBoostRegressor;0.567741935483871;0.6761290322580645;0.01525275259057935;1.0;2239097;train_test_split 30%;robust_scaler;pca;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('AdaBoostRegressor', AdaBoostRegressor(base_estimator=None, learning_rate=1.0, loss='linear',
                  n_estimators=50, random_state=None))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'AdaBoostRegressor__loss': ('linear', 'square', 'exponential'), 'AdaBoostRegressor__n_estimators': [25, 50, 75]};12;10;3;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=False)),
                ('pca',
                 PCA(copy=True, iterated_power='auto', n_components=11,
                     random_state=None, svd_solver='randomized', tol=0.0,
                     whiten=True)),
                ('AdaBoostRegressor',
                 AdaBoostRegressor(base_estimator=None, learning_rate=1.0,
                                   loss='exponential', n_estimators=50,
                                   random_state=None))],
         verbose=False)";{'robust_scaler__with_scaling': False, 'robust_scaler__with_centering': False, 'pca__whiten': True, 'pca__svd_solver': 'randomized', 'pca__n_components': 11, 'AdaBoostRegressor__n_estimators': 50, 'AdaBoostRegressor__loss': 'exponential'}
HuberRegressor;0.5161290322580645;0.6425806451612903;0.014287667045954643;0.0;7736690;train_test_split 30%;robust_scaler;pca;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('HuberRegressor', HuberRegressor(alpha=0.0001, epsilon=1.35, fit_intercept=True, max_iter=100,
               tol=1e-05, warm_start=False))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'HuberRegressor__max_iter': [50, 100, 150], 'HuberRegressor__warm_start': [True, False]};12;37;10;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=True, with_scaling=True)),
                ('pca',
                 PCA(copy=True, iterated_power='auto', n_components=11,
                     random_state=None, svd_solver='auto', tol=0.0,
                     whiten=False)),
                ('HuberRegressor',
                 HuberRegressor(alpha=0.0001, epsilon=1.35, fit_intercept=True,
                                max_iter=150, tol=1e-05, warm_start=False))],
         verbose=False)";{'robust_scaler__with_scaling': True, 'robust_scaler__with_centering': True, 'pca__whiten': False, 'pca__svd_solver': 'auto', 'pca__n_components': 11, 'HuberRegressor__warm_start': False, 'HuberRegressor__max_iter': 150}
LinearRegression;0.5445161290322581;0.7019354838709677;0.01575787577771754;0.0;4632476;train_test_split 30%;robust_scaler;pca;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('LinearRegression', LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'LinearRegression__fit_intercept': [True, False], 'LinearRegression__normalize': [True, False]};12;6;5;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=False)),
                ('pca',
                 PCA(copy=True, iterated_power='auto', n_components=7,
                     random_state=None, svd_solver='full', tol=0.0,
                     whiten=True)),
                ('LinearRegression',
                 LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None,
                                  normalize=False))],
         verbose=False)";{'robust_scaler__with_scaling': False, 'robust_scaler__with_centering': False, 'pca__whiten': True, 'pca__svd_solver': 'full', 'pca__n_components': 7, 'LinearRegression__normalize': False, 'LinearRegression__fit_intercept': True}
PassiveAggressiveRegressor;0.9387096774193548;1.5890322580645162;0.03438973776443298;1.0;951978;train_test_split 30%;robust_scaler;pca;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('PassiveAggressiveRegressor', PassiveAggressiveRegressor(C=1.0, average=False, early_stopping=False,
                           epsilon=0.1, fit_intercept=True,
                           loss='epsilon_insensitive', max_iter=1000,
                           n_iter_no_change=5, random_state=None, shuffle=True,
                           tol=0.001, validation_fraction=0.1, verbose=0,
                           warm_start=False))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'PassiveAggressiveRegressor__max_iter': [500, 1000, 1500], 'PassiveAggressiveRegressor__fit_intercept': [True, False], 'PassiveAggressiveRegressor__early_stopping': [True, False], 'PassiveAggressiveRegressor__shuffle': [True, False], 'PassiveAggressiveRegressor__warm_start': [True, False]};12;18;9;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=True, with_scaling=True)),
                ('pca',
                 PCA(copy=True, iterated_power='auto', n_components=11,
                     random_state=None, svd_solver='randomized', tol=0.0,
                     whiten=True)),
                ('PassiveAggressiveRegressor',
                 PassiveAggressiveRegressor(C=1.0, average=False,
                                            early_stopping=True, epsilon=0.1,
                                            fit_intercept=True,
                                            loss='epsilon_insensitive',
                                            max_iter=1000, n_iter_no_change=5,
                                            random_state=None, shuffle=False,
                                            tol=0.001, validation_fraction=0.1,
                                            verbose=0, warm_start=False))],
         verbose=False)";{'robust_scaler__with_scaling': True, 'robust_scaler__with_centering': True, 'pca__whiten': True, 'pca__svd_solver': 'randomized', 'pca__n_components': 11, 'PassiveAggressiveRegressor__warm_start': False, 'PassiveAggressiveRegressor__shuffle': False, 'PassiveAggressiveRegressor__max_iter': 1000, 'PassiveAggressiveRegressor__fit_intercept': True, 'PassiveAggressiveRegressor__early_stopping': True}
SGDRegressor;0.6412903225806451;0.8103225806451613;0.018345574531181408;1.0;1451001;train_test_split 30%;robust_scaler;pca;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('SGDRegressor', SGDRegressor(alpha=0.0001, average=False, early_stopping=False, epsilon=0.1,
             eta0=0.01, fit_intercept=True, l1_ratio=0.15,
             learning_rate='invscaling', loss='squared_loss', max_iter=1000,
             n_iter_no_change=5, penalty='l2', power_t=0.25, random_state=None,
             shuffle=True, tol=0.001, validation_fraction=0.1, verbose=0,
             warm_start=False))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'SGDRegressor__loss': ('squared_loss', 'huber', 'epsilon_insensitive', 'squared_epsilon_insensitive'), 'SGDRegressor__penalty': ('l1', 'l2', 'elasticnet', None), 'SGDRegressor__max_iter': [500, 1000, 1500], 'SGDRegressor__shuffle': [True, False], 'SGDRegressor__warm_start': [True, False], 'SGDRegressor__learning_rate': ('constant', 'optimal', 'invscaling', 'adaptive'), 'SGDRegressor__early_stopping': [True, False]};12;20;5;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=True)),
                ('pca',
                 PCA(copy=True, iterated_power='auto', n_components=3,
                     random_state=None, svd_solver='randomized', tol=0.0,
                     whiten=True)),
                ('SGDRegressor',
                 SGDRegressor(alpha=0.0001, average=False, early_stopping=True,
                              epsilon=0.1, eta0=0.01, fit_intercept=True,
                              l1_ratio=0.15, learning_rate='adaptive',
                              loss='huber', max_iter=1000, n_iter_no_change=5,
                              penalty='l1', power_t=0.25, random_state=None,
                              shuffle=False, tol=0.001, validation_fraction=0.1,
                              verbose=0, warm_start=False))],
         verbose=False)";{'robust_scaler__with_scaling': True, 'robust_scaler__with_centering': False, 'pca__whiten': True, 'pca__svd_solver': 'randomized', 'pca__n_components': 3, 'SGDRegressor__warm_start': False, 'SGDRegressor__shuffle': False, 'SGDRegressor__penalty': 'l1', 'SGDRegressor__max_iter': 1000, 'SGDRegressor__loss': 'huber', 'SGDRegressor__learning_rate': 'adaptive', 'SGDRegressor__early_stopping': True}
TheilSenRegressor;0.6438709677419355;0.8154838709677419;0.018510002457617195;1.0;4566156;train_test_split 30%;robust_scaler;pca;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('TheilSenRegressor', TheilSenRegressor(copy_X=True, fit_intercept=True, max_iter=300,
                  max_subpopulation=10000, n_jobs=None, n_subsamples=None,
                  random_state=None, tol=0.001, verbose=False))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'TheilSenRegressor__fit_intercept': [True, False], 'TheilSenRegressor__max_iter': [150, 300, 450]};12;39;8;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=True, with_scaling=False)),
                ('pca',
                 PCA(copy=True, iterated_power='auto', n_components=3,
                     random_state=None, svd_solver='randomized', tol=0.0,
                     whiten=True)),
                ('TheilSenRegressor',
                 TheilSenRegressor(copy_X=True, fit_intercept=True,
                                   max_iter=150, max_subpopulation=10000,
                                   n_jobs=None, n_subsamples=None,
                                   random_state=None, tol=0.001,
                                   verbose=False))],
         verbose=False)";{'robust_scaler__with_scaling': False, 'robust_scaler__with_centering': True, 'pca__whiten': True, 'pca__svd_solver': 'randomized', 'pca__n_components': 3, 'TheilSenRegressor__max_iter': 150, 'TheilSenRegressor__fit_intercept': True}
KNeighborsRegressor;0.5187096774193548;0.6451612903225806;0.014527766887547453;0.0;9256571;train_test_split 30%;robust_scaler;pca;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('KNeighborsRegressor', KNeighborsRegressor(algorithm='auto', leaf_size=30, metric='minkowski',
                    metric_params=None, n_jobs=None, n_neighbors=5, p=2,
                    weights='uniform'))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'KNeighborsRegressor__n_neighbors': [3, 5, 7, 9], 'KNeighborsRegressor__weights': ('uniform', 'distance'), 'KNeighborsRegressor__algorithm': ('auto', 'ball_tree', 'kd_tree', 'brute'), 'KNeighborsRegressor__p': [1, 2]};12;36;3;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=True, with_scaling=False)),
                ('pca',
                 PCA(copy=True, iterated_power='auto', n_components=11,
                     random_state=None, svd_solver='full', tol=0.0,
                     whiten=True)),
                ('KNeighborsRegressor',
                 KNeighborsRegressor(algorithm='brute', leaf_size=30,
                                     metric='minkowski', metric_params=None,
                                     n_jobs=None, n_neighbors=3, p=2,
                                     weights='uniform'))],
         verbose=False)";{'robust_scaler__with_scaling': False, 'robust_scaler__with_centering': True, 'pca__whiten': True, 'pca__svd_solver': 'full', 'pca__n_components': 11, 'KNeighborsRegressor__weights': 'uniform', 'KNeighborsRegressor__p': 2, 'KNeighborsRegressor__n_neighbors': 3, 'KNeighborsRegressor__algorithm': 'brute'}
RadiusNeighborsRegressor;0.6361290322580645;0.8258064516129032;0.02032022097739336;1.0;1048406;train_test_split 30%;robust_scaler;pca;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('RadiusNeighborsRegressor', RadiusNeighborsRegressor(algorithm='auto', leaf_size=30, metric='minkowski',
                         metric_params=None, n_jobs=None, p=2, radius=1.0,
                         weights='uniform'))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'RadiusNeighborsRegressor__weights': ('uniform', 'distance'), 'RadiusNeighborsRegressor__algorithm': ('ball_tree', 'kd_tree', 'brute', 'auto'), 'RadiusNeighborsRegressor__p': [1, 2]};12;36;8;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=True)),
                ('pca',
                 PCA(copy=True, iterated_power='auto', n_components=3,
                     random_state=None, svd_solver='full', tol=0.0,
                     whiten=True)),
                ('RadiusNeighborsRegressor',
                 RadiusNeighborsRegressor(algorithm='kd_tree', leaf_size=30,
                                          metric='minkowski',
                                          metric_params=None, n_jobs=None, p=1,
                                          radius=1.0, weights='uniform'))],
         verbose=False)";{'robust_scaler__with_scaling': True, 'robust_scaler__with_centering': False, 'pca__whiten': True, 'pca__svd_solver': 'full', 'pca__n_components': 3, 'RadiusNeighborsRegressor__weights': 'uniform', 'RadiusNeighborsRegressor__p': 1, 'RadiusNeighborsRegressor__algorithm': 'kd_tree'}
ExtraTreeRegressor;0.5761290322580646;0.8909677419354839;0.020101865210578003;0.0;4216089;train_test_split 30%;robust_scaler;pca;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('ExtraTreeRegressor', ExtraTreeRegressor(criterion='mse', max_depth=None, max_features='auto',
                   max_leaf_nodes=None, min_impurity_decrease=0.0,
                   min_impurity_split=None, min_samples_leaf=1,
                   min_samples_split=2, min_weight_fraction_leaf=0.0,
                   random_state=None, splitter='random'))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'ExtraTreeRegressor__criterion': ('mse', 'mae'), 'ExtraTreeRegressor__max_features': ('auto', 'sqrt', 'log2')};12;6;4;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=True, with_scaling=False)),
                ('pca',
                 PCA(copy=True, iterated_power='auto', n_components=11,
                     random_state=None, svd_solver='randomized', tol=0.0,
                     whiten=True)),
                ('ExtraTreeRegressor',
                 ExtraTreeRegressor(criterion='mae', max_depth=None,
                                    max_features='sqrt', max_leaf_nodes=None,
                                    min_impurity_decrease=0.0,
                                    min_impurity_split=None, min_samples_leaf=1,
                                    min_samples_split=2,
                                    min_weight_fraction_leaf=0.0,
                                    random_state=None, splitter='random'))],
         verbose=False)";{'robust_scaler__with_scaling': False, 'robust_scaler__with_centering': True, 'pca__whiten': True, 'pca__svd_solver': 'randomized', 'pca__n_components': 11, 'ExtraTreeRegressor__max_features': 'sqrt', 'ExtraTreeRegressor__criterion': 'mae'}
RandomForestRegressor;0.4411764705882353;0.5433436532507739;0.012403929511438651;0.0;7137412;train_test_split 25%;Não utilizado;pca;"[('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('RandomForestRegressor', RandomForestRegressor(bootstrap=True, criterion='mse', max_depth=None,
                      max_features='auto', max_leaf_nodes=None,
                      min_impurity_decrease=0.0, min_impurity_split=None,
                      min_samples_leaf=1, min_samples_split=2,
                      min_weight_fraction_leaf=0.0, n_estimators='warn',
                      n_jobs=None, oob_score=False, random_state=None,
                      verbose=0, warm_start=False))]";{'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'RandomForestRegressor__n_estimators': [5, 10, 15], 'RandomForestRegressor__criterion': ('mse', 'mae'), 'RandomForestRegressor__max_features': ('auto', 'sqrt', 'log2'), 'RandomForestRegressor__bootstrap': [True, False], 'RandomForestRegressor__warm_start': [True, False]};12;24;10;"Pipeline(memory=None,
         steps=[('pca',
                 PCA(copy=True, iterated_power='auto', n_components=7,
                     random_state=None, svd_solver='randomized', tol=0.0,
                     whiten=True)),
                ('RandomForestRegressor',
                 RandomForestRegressor(bootstrap=True, criterion='mse',
                                       max_depth=None, max_features='sqrt',
                                       max_leaf_nodes=None,
                                       min_impurity_decrease=0.0,
                                       min_impurity_split=None,
                                       min_samples_leaf=1, min_samples_split=2,
                                       min_weight_fraction_leaf=0.0,
                                       n_estimators=15, n_jobs=None,
                                       oob_score=False, random_state=None,
                                       verbose=0, warm_start=False))],
         verbose=False)";{'pca__whiten': True, 'pca__svd_solver': 'randomized', 'pca__n_components': 7, 'RandomForestRegressor__warm_start': False, 'RandomForestRegressor__n_estimators': 15, 'RandomForestRegressor__max_features': 'sqrt', 'RandomForestRegressor__criterion': 'mse', 'RandomForestRegressor__bootstrap': True}
ExtraTreesRegressor;0.42569659442724456;0.5278637770897833;0.01210428205766619;0.0;6026854;train_test_split 25%;Não utilizado;pca;"[('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('ExtraTreesRegressor', ExtraTreesRegressor(bootstrap=False, criterion='mse', max_depth=None,
                    max_features='auto', max_leaf_nodes=None,
                    min_impurity_decrease=0.0, min_impurity_split=None,
                    min_samples_leaf=1, min_samples_split=2,
                    min_weight_fraction_leaf=0.0, n_estimators='warn',
                    n_jobs=None, oob_score=False, random_state=None, verbose=0,
                    warm_start=False))]";{'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'ExtraTreesRegressor__n_estimators': [5, 10, 15], 'ExtraTreesRegressor__criterion': ('mse', 'mae'), 'ExtraTreesRegressor__max_features': ('auto', 'sqrt', 'log2'), 'ExtraTreesRegressor__bootstrap': [True, False], 'ExtraTreesRegressor__warm_start': [True, False]};12;5;10;"Pipeline(memory=None,
         steps=[('pca',
                 PCA(copy=True, iterated_power='auto', n_components=11,
                     random_state=None, svd_solver='full', tol=0.0,
                     whiten=False)),
                ('ExtraTreesRegressor',
                 ExtraTreesRegressor(bootstrap=False, criterion='mse',
                                     max_depth=None, max_features='sqrt',
                                     max_leaf_nodes=None,
                                     min_impurity_decrease=0.0,
                                     min_impurity_split=None,
                                     min_samples_leaf=1, min_samples_split=2,
                                     min_weight_fraction_leaf=0.0,
                                     n_estimators=15, n_jobs=None,
                                     oob_score=False, random_state=None,
                                     verbose=0, warm_start=False))],
         verbose=False)";{'pca__whiten': False, 'pca__svd_solver': 'full', 'pca__n_components': 11, 'ExtraTreesRegressor__warm_start': False, 'ExtraTreesRegressor__n_estimators': 15, 'ExtraTreesRegressor__max_features': 'sqrt', 'ExtraTreesRegressor__criterion': 'mse', 'ExtraTreesRegressor__bootstrap': False}
